CSAPÁGYAK	GOLYÓS CSAPÁGY	MÉLYHORNYÚ GOLYÓSCSAPÁGY	EGYSORÚ MÉLYHORNYÚ GOLYÓSCSAPÁGY	BECO fagyálló egysorú mélyhornyú golyóscsapágy
				KOYO egysorú ferde hatásvonalú golyóscsapágy
				KOYO kétsorú ferdehatásvonalú golyóscs porvédős RM
				KOYO kétsorú ferdehatásvonalú golyóscsap. porvédős
				KOYO kétsorú ferdehatásvonalú golyóscsapágy
				NACHI egysorú ferde hatásvonalú golyóscsapágy
				NKE kétsorú ferdehatásvonalú golyóscsapágy
				NSK egysorú ferde hatásvonalú golyóscsapágy
				NSK kétsorú ferdehatásvonalú golyóscsapágy
				NSK párosított ferde hatásvonalú golyóscsapágy 2db
				NTN egysorú ferde hatásvonalú golyóscsapágy
				NTN kétsorú ferdehatásvonalú golyóscsapágy
				RHP egysorú ferde hatásvonalú golyóscsapágy
				RHP párosított ferde hatásvonalú golyóscsapágy 2db
				SKF egysorú ferde hatásvonalú golyóscsap. povédős
				SKF egysorú ferde hatásvonalú golyóscsapágy
				SKF ferdehatásvonalú miniatűr golyóscsapágy
				SKF kétsorú ferdehatásvonalú golyóscsap. porvédős
				SKF kétsorú ferdehatásvonalú golyóscsapágy
				SKF párosított ferde hatásvonalú golyóscsapágy 2db
				SKF párosított ferde hatásvonalú golyóscsapágy 3db
				SKF párosított ferdehatásvonalú golyóscsapágy
				SKF szuperprec. kétsorú ferdehat. golyóscsap. csav
				SKF szuperprec. kétsorú ferdehat. golyóscsapágy
				SKF vékony keresztm. egysorú ferdeh.golyóscsapágy
				UKF kétsorú ferdehatásvonalú golyóscsapágy
				ZKL/ZVL egysorú ferde hatásvonalú golyóscsapágy
				ZKL/ZVL kétsorú ferdehatásvonalú golyóscsapágy
			NÉGYPONT-ÉRINTKEZÉSŰ GOLYÓSCSAPÁGY	INA négypont-érintkezésű golyóscsapágy
				KELETI négypont-érintkezésű golyóscsapágy
				SKF négypont-érintkezésű golyóscsapágy
				SKF négypont-érintkezésű golyóscsapágy (egyedi gy)
				SKF négypont-érintkezésű golyóscsapágy, keskeny
				SKF négypont-érintkezésű golyóscsapágy, vékony
		BEÁLLÓ GOLYÓSCSAPÁGY	BEÁLLÓ GOLYÓSCSAPÁGY	FAG beálló golyóscsapágy
				FAG beálló golyóscsapágy kúpos furattal
				FAG beálló golyóscsapágy széles belső gyűrűvel
				FAG beálló görgőscsapágy
				FAG beálló görgőscsapágy kúpos furattal
				KELETI beálló golyóscsapágy
				KELETI beálló golyóscsapágy kúpos furattal
				KELETI rozsdamentes beálló golyóscsapágy
				KOYO beálló golyóscsapágy
				KOYO beálló golyóscsapágy kúpos furattal
				KOYO beálló görgőscsapágy
				KOYO beálló görgőscsapágy kúpos furattal
				NACHI beálló görgőscsapágy kúpos furattal
				NSK beálló golyóscsapágy
				NSK beálló görgőscsapágy
				NSK beálló görgőscsapágy kúpos furattal
				NTN beálló golyóscsapágy
				NTN beálló golyóscsapágy kúpos furattal
				NTN beálló görgőscsapágy
				NTN beálló görgőscsapágy kúpos furattal
				RHP beálló golyóscsapágy
				SKF beálló golyóscsapágy
				SKF beálló golyóscsapágy kúpos furattal
				SKF beálló golyóscsapágy széles belső gyűrűvel
				SKF önbeálló cs. készlet = 1210 EKTN9/C3 + H210
				SKF önbeálló cs. készlet = 1211 EKTN9/C3 + H211
				STEYR beálló golyóscsapágy
				TIMKEN beálló görgőscsapágy
				ZKL/ZVL beálló golyóscsapágy
				ZKL/ZVL beálló golyóscsapágy kúpos furattal
			CSAPÁGYHÁZ BEÁLLÓ GOLYÓSCSAPÁGYHOZ	SKF csapágyház
				SKF karimás csapágyház átmenő tengelyekhez
				SKF karimás csapágyház tengelyvégekhez
		AXIÁLIS GOLYÓSCSAPÁGY	EZO axiális golyóscsapágy egyirányú terhelésre
			FAG axiális golyóscsapágy egyirányú terhelésre
			FAG axiális golyóscsapágy kétirányú terhelésre
			FAG gömbfelületű alátéttárcsa axiális golyóscsaph.
			FAG szuperprec. egyirányú ferdehat. ax. golyóscsap
			IKO axiális golyóscsapágy egyirányú terhelésre
			KELETI axiális golyóscsapágy
			KELETI axiális golyóscsapágy egyirányú terhelésre
			KELETI axiális golyóscsapágy kétirányú terhelésre
			KELETI rozsdamentes axiális golyóscsapágy
			KOYO axiális golyóscsapágy egyirányú terhelésre
			NSK axiális golyóscsapágy egyirányú terhelésre
			SKF axiális golyóscs egyirányú terh. beálló tárcsa
			SKF axiális golyóscs kétirányú terh. beálló tárcsa
			SKF axiális golyóscsapágy egyirányú terhelésre
			SKF axiális golyóscsapágy egyirányú terhelésre
			SKF axiális golyóscsapágy kétirányú terhelésre
			SKF gömbfelületű alátéttárcsa axiális golyóscsaph.
			SKF szuperprec. egyirányú ferdehat. ax. golyóscsap
			STEYR axiális golyóscsapágy egyirányú terhelésre
			ZKL/ZVL axiális golyóscsapágy egyirányú terhelésre
			ZKL/ZVL axiális golyóscsapágy kétirányú terhelésre
	GÖRGŐS CSAPÁGY	HENGERGÖRGŐS CSAPÁGY	FAG egysorú hengergörgős csapágy (N)
			FAG egysorú hengergörgős csapágy (NJ)
			FAG egysorú hengergörgős csapágy (NU)
			FAG egysorú hengergörgős csapágy (NUP)
			FAG egysorú hengergörgős csapágy belsőgyűrű nélkül
			FAG egysorú telegörgős hengergörgős csapágy (NJ)
			FAG kétsorú hengerg. cs. váll nélküli belső gyűrű
			FAG kétsorú hengerg. cs. váll nélküli külső gyűrű
			FAG telegörgős hengergörgős csap. belső gy.nélkül
			FAG telegörgős hengergörgős csapágy
			FERSA egysorú hengergörgős csapágy (NUP)
			FERSA telegörgős hengergörgős csapágy
			IKO keresztgörgős hengergörgős csapágy
			IKO kétsoros hengergörgős csapágy
			INA egysorú telegörgős hengergörgős csapágy
			INA egysorú telegörgős hengergörgős csapágy (NJ)
			INA hengergörgős csapágy csapágy
			INA kétsorú teleg.heng.cs. vállnélküli külső gyűrű
			INA kétsorú telegörg hengergörg cs külső gy nélkül
			INA kétsorú telegörgős hengergörgős cs. tömített
			INA kétsorú telegörgős hengergörgős csapágy
			INA telegörgos hengergörgős csapágy
			KELETI egysorú hengergörgős csapágy (N)
			KELETI egysorú hengergörgős csapágy (NJ)
			KELETI egysorú hengergörgős csapágy (NU)
			KELETI egysorú hengergörgős csapágy (NUB)
			KELETI egysorú hengergörgős csapágy (NUP)
			KELETI egysorú hengergörgős csapágy belsőgy.nélkül
			KELETI hengergörgős csapágy
			KELETI kétsorú hengerg. cs. váll nélküli külső gy
			KELETI kétsorú telegörgős hengergörgős cs tömített
			KELETI kétsorú telegörgős hengergörgős cs. tömít.
			KELETI kétsorú telegörgős hengergörgős csapágy
			KELETI telegörgős hengergörgős csapágy
			KOYO egysorú hengergörgős csapágy (N)
			KOYO egysorú hengergörgős csapágy (NF)
			KOYO egysorú hengergörgős csapágy (NJ)
			KOYO egysorú hengergörgős csapágy (NU)
			KOYO egysorú hengergörgős csapágy (NUP)
			KOYO egysorú hengergörgős csapágy belsőgyűrű nélkül
			KOYO egysorú telegörgős hengergörgős csapágy (NUP)
			KOYO hengergörgős csapágy belső gyűrű nélkül
			KOYO hengergörgős csapágy külső gyűrű nélkül
			KOYO telegörgős hengergörgős csap. külső gy.nélkül
			KOYO telegörgős hengergörgős csapágy
			MTK egysorú hengergörgős csapágy (NJ)
			MTK egysorú hengergörgős csapágy (NUP)
			NACHI egysorú hengergörgős csapágy (NJ)
			NACHI egysorú hengergörgős csapágy (NU)
			NACHI egysorú hengergörgős csapágy (NUP)
			NACHI kétsorú hengerg.cs. váll nélküli külső gyűrű
			NACHI telegörgős hengergörgős csapágy, külső gyűrű
			NADELLA hengergörgős csapágy belső gyűrű nélkül
			NKE egysorú hengergörgős csapágy (N)
			NKE egysorú hengergörgős csapágy (NJ)
			NKE egysorú hengergörgős csapágy (NU)
			NKE egysorú telegörgős hengergörgős csapágy
			NKE kétsorú telegörgős hengergörgős csapágy
			NSK egysorú hengergörgős csapágy (N)
			NSK egysorú hengergörgős csapágy (NJ)
			NSK egysorú hengergörgős csapágy (NU)
			NSK egysorú hengergörgős csapágy (NUP)
			NSK egysorú telegörgős hengergörgős csapágy (NUP)
			NSK hengergörgős csapágy belső gyűrű nélkül
			NSK kétsorú hengerg. cs. váll nélküli külső gyűrű
			NSK telegörgős hengergörgős csapágy (NJ)
			NTN egysorú hengergörgős csapágy (N)
			NTN egysorú hengergörgős csapágy (NJ)
			NTN egysorú hengergörgős csapágy (NU)
			NTN egysorú hengergörgős csapágy (NUP)
			NTN hengergörgős csapágy belső gyűrű nélkül
			NTN hengergörgős csapágy külső gyűrű nélkül
			RHP egysorú hengergörgős csapágy (N)
			RHP egysorú hengergörgős csapágy (NF)
			RHP egysorú hengergörgős csapágy (NU)
			RIV egysorú hengergörgős csapágy (N)
			RIV egysorú hengergörgős csapágy (NUP)
			SKF egysorú hengergörgős csapágy
			SKF egysorú hengergörgős csapágy (N)
			SKF egysorú hengergörgős csapágy (NJ)
			SKF egysorú hengergörgős csapágy (NU)
			SKF egysorú hengergörgős csapágy (NU) szigetelt
			SKF egysorú hengergörgős csapágy (NUP)
			SKF egysorú hengergörgős csapágy (NUP)
			SKF egysorú hengergörgős csapágy belsőgyűrű nélkül
			SKF egysorú hengergörgős csapágy, peremes (NUP)
			SKF egysorú telegörgős hengergörgős csapágy
			SKF egysorú telegörgős hengergörgős csapágy (NJ)
